number,name,address,bike_stands,available_bike_stands,last_update
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,18,1.47438E+12
4,GREEK STREET,Greek Street,20,17,1.47438E+12
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,16,1.47438E+12
4,GREEK STREET,Greek Street,20,1,1.47398E+12
4,GREEK STREET,Greek Street,20,0,1.47398E+12
4,GREEK STREET,Greek Street,20,0,1.47398E+12
4,GREEK STREET,Greek Street,20,2,1.47398E+12
4,GREEK STREET,Greek Street,20,2,1.47398E+12
4,GREEK STREET,Greek Street,20,3,1.47398E+12
4,GREEK STREET,Greek Street,20,5,1.47398E+12
4,GREEK STREET,Greek Street,20,5,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47398E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.47399E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,3,1.474E+12
4,GREEK STREET,Greek Street,20,3,1.474E+12
4,GREEK STREET,Greek Street,20,3,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,4,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,5,1.474E+12
4,GREEK STREET,Greek Street,20,6,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.474E+12
4,GREEK STREET,Greek Street,20,7,1.47401E+12
4,GREEK STREET,Greek Street,20,6,1.47401E+12
4,GREEK STREET,Greek Street,20,6,1.47401E+12
4,GREEK STREET,Greek Street,20,7,1.47401E+12
4,GREEK STREET,Greek Street,20,6,1.47401E+12
4,GREEK STREET,Greek Street,20,6,1.47401E+12
4,GREEK STREET,Greek Street,20,7,1.47401E+12
4,GREEK STREET,Greek Street,20,7,1.47401E+12
4,GREEK STREET,Greek Street,20,7,1.47401E+12
4,GREEK STREET,Greek Street,20,8,1.47401E+12
4,GREEK STREET,Greek Street,20,10,1.47401E+12
4,GREEK STREET,Greek Street,20,14,1.47401E+12
4,GREEK STREET,Greek Street,20,17,1.47401E+12
4,GREEK STREET,Greek Street,20,19,1.47401E+12
4,GREEK STREET,Greek Street,20,17,1.47401E+12
