number,name,address,bike_stands,available_bike_stands,last_update
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,0,1474380000000
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,3,1474380000000
1,CHATHAM STREET,Chatham Street,29,5,1474380000000
1,CHATHAM STREET,Chatham Street,29,4,1474380000000
1,CHATHAM STREET,Chatham Street,29,5,1474380000000
1,CHATHAM STREET,Chatham Street,29,3,1474380000000
1,CHATHAM STREET,Chatham Street,29,2,1474380000000
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,1,1474380000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473980000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1473990000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,26,1474000000000
1,CHATHAM STREET,Chatham Street,29,26,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474000000000
1,CHATHAM STREET,Chatham Street,29,29,1474000000000
1,CHATHAM STREET,Chatham Street,29,28,1474000000000
1,CHATHAM STREET,Chatham Street,29,28,1474000000000
1,CHATHAM STREET,Chatham Street,29,27,1474010000000
1,CHATHAM STREET,Chatham Street,29,26,1474010000000
